"country","age_group","start_date","end_date","total_rsv_hospitalisations","season"
"Hungary","80+",2026-08-31,2027-08-29,1367,"2026/2027"
"Hungary","0-2mo",2027-08-30,2028-08-27,1567,"2027/2028"
"Hungary","1-4",2027-08-30,2028-08-27,1157,"2027/2028"
"Hungary","18-59",2027-08-30,2028-08-27,339,"2027/2028"
"Hungary","3-5mo",2027-08-30,2028-08-27,805,"2027/2028"
"Hungary","5-17",2027-08-30,2028-08-27,84,"2027/2028"
"Hungary","6-11mo",2027-08-30,2028-08-27,787,"2027/2028"
"Hungary","60-64",2027-08-30,2028-08-27,173,"2027/2028"
"Hungary","65-69",2027-08-30,2028-08-27,286,"2027/2028"
"Hungary","70-74",2027-08-30,2028-08-27,463,"2027/2028"
"Hungary","75-79",2027-08-30,2028-08-27,466,"2027/2028"
"Hungary","80+",2027-08-30,2028-08-27,1367,"2027/2028"
"Ireland","0-2mo",2026-08-31,2027-08-29,955,"2026/2027"
"Ireland","1-4",2026-08-31,2027-08-29,996,"2026/2027"
"Ireland","18-59",2026-08-31,2027-08-29,302,"2026/2027"
"Ireland","3-5mo",2026-08-31,2027-08-29,692,"2026/2027"
"Ireland","5-17",2026-08-31,2027-08-29,85,"2026/2027"
"Ireland","6-11mo",2026-08-31,2027-08-29,669,"2026/2027"
"Ireland","60-64",2026-08-31,2027-08-29,128,"2026/2027"
"Ireland","65-69",2026-08-31,2027-08-29,174,"2026/2027"
"Ireland","70-74",2026-08-31,2027-08-29,247,"2026/2027"
"Ireland","75-79",2026-08-31,2027-08-29,278,"2026/2027"
"Ireland","80+",2026-08-31,2027-08-29,739,"2026/2027"
"Ireland","0-2mo",2027-08-30,2028-08-27,955,"2027/2028"
"Ireland","1-4",2027-08-30,2028-08-27,996,"2027/2028"
"Ireland","18-59",2027-08-30,2028-08-27,302,"2027/2028"
"Ireland","3-5mo",2027-08-30,2028-08-27,692,"2027/2028"
"Ireland","5-17",2027-08-30,2028-08-27,85,"2027/2028"
"Ireland","6-11mo",2027-08-30,2028-08-27,669,"2027/2028"
"Ireland","60-64",2027-08-30,2028-08-27,128,"2027/2028"
"Ireland","65-69",2027-08-30,2028-08-27,174,"2027/2028"
"Ireland","70-74",2027-08-30,2028-08-27,247,"2027/2028"
"Ireland","75-79",2027-08-30,2028-08-27,278,"2027/2028"
"Ireland","80+",2027-08-30,2028-08-27,739,"2027/2028"
"Italy","0-2mo",2026-08-31,2027-08-29,7612,"2026/2027"
"Italy","1-4",2026-08-31,2027-08-29,4134,"2026/2027"
"Italy","18-59",2026-08-31,2027-08-29,1949,"2026/2027"
"Italy","3-5mo",2026-08-31,2027-08-29,3581,"2026/2027"
"Italy","5-17",2026-08-31,2027-08-29,430,"2026/2027"
"Italy","6-11mo",2026-08-31,2027-08-29,3425,"2026/2027"
"Italy","60-64",2026-08-31,2027-08-29,1167,"2026/2027"
"Italy","65-69",2026-08-31,2027-08-29,1569,"2026/2027"
"Italy","70-74",2026-08-31,2027-08-29,2223,"2026/2027"
"Italy","75-79",2026-08-31,2027-08-29,3323,"2026/2027"
"Italy","80+",2026-08-31,2027-08-29,12584,"2026/2027"
"Italy","0-2mo",2027-08-30,2028-08-27,7612,"2027/2028"
"Italy","1-4",2027-08-30,2028-08-27,4134,"2027/2028"
"Italy","18-59",2027-08-30,2028-08-27,1949,"2027/2028"
"Italy","3-5mo",2027-08-30,2028-08-27,3581,"2027/2028"
"Italy","5-17",2027-08-30,2028-08-27,430,"2027/2028"
"Italy","6-11mo",2027-08-30,2028-08-27,3425,"2027/2028"
"Italy","60-64",2027-08-30,2028-08-27,1167,"2027/2028"
"Italy","65-69",2027-08-30,2028-08-27,1569,"2027/2028"
"Italy","70-74",2027-08-30,2028-08-27,2223,"2027/2028"
"Italy","75-79",2027-08-30,2028-08-27,3323,"2027/2028"
"Italy","80+",2027-08-30,2028-08-27,12584,"2027/2028"
"Latvia","0-2mo",2026-08-31,2027-08-29,246,"2026/2027"
"Latvia","1-4",2026-08-31,2027-08-29,176,"2026/2027"
"Latvia","18-59",2026-08-31,2027-08-29,46,"2026/2027"
"Latvia","3-5mo",2026-08-31,2027-08-29,133,"2026/2027"
"Latvia","5-17",2026-08-31,2027-08-29,11,"2026/2027"
"Latvia","6-11mo",2026-08-31,2027-08-29,103,"2026/2027"
"Latvia","60-64",2026-08-31,2027-08-29,38,"2026/2027"
"Latvia","65-69",2026-08-31,2027-08-29,40,"2026/2027"
"Latvia","70-74",2026-08-31,2027-08-29,70,"2026/2027"
"Latvia","75-79",2026-08-31,2027-08-29,106,"2026/2027"
"Latvia","80+",2026-08-31,2027-08-29,398,"2026/2027"
"Latvia","0-2mo",2027-08-30,2028-08-27,246,"2027/2028"
"Latvia","1-4",2027-08-30,2028-08-27,176,"2027/2028"
"Latvia","18-59",2027-08-30,2028-08-27,46,"2027/2028"
"Latvia","3-5mo",2027-08-30,2028-08-27,133,"2027/2028"
"Latvia","5-17",2027-08-30,2028-08-27,11,"2027/2028"
"Latvia","6-11mo",2027-08-30,2028-08-27,103,"2027/2028"
"Latvia","60-64",2027-08-30,2028-08-27,38,"2027/2028"
"Latvia","65-69",2027-08-30,2028-08-27,40,"2027/2028"
"Latvia","70-74",2027-08-30,2028-08-27,70,"2027/2028"
"Latvia","75-79",2027-08-30,2028-08-27,106,"2027/2028"
"Latvia","80+",2027-08-30,2028-08-27,398,"2027/2028"
"Lithuania","0-2mo",2026-08-31,2027-08-29,342,"2026/2027"
"Lithuania","1-4",2026-08-31,2027-08-29,227,"2026/2027"
"Lithuania","18-59",2026-08-31,2027-08-29,74,"2026/2027"
"Lithuania","3-5mo",2026-08-31,2027-08-29,162,"2026/2027"
"Lithuania","5-17",2026-08-31,2027-08-29,17,"2026/2027"
"Lithuania","6-11mo",2026-08-31,2027-08-29,171,"2026/2027"
"Lithuania","60-64",2026-08-31,2027-08-29,61,"2026/2027"
"Lithuania","65-69",2026-08-31,2027-08-29,79,"2026/2027"
"Lithuania","70-74",2026-08-31,2027-08-29,116,"2026/2027"
"Lithuania","75-79",2026-08-31,2027-08-29,120,"2026/2027"
"Lithuania","80+",2026-08-31,2027-08-29,585,"2026/2027"
"Lithuania","0-2mo",2027-08-30,2028-08-27,342,"2027/2028"
"Lithuania","1-4",2027-08-30,2028-08-27,227,"2027/2028"
"Lithuania","18-59",2027-08-30,2028-08-27,74,"2027/2028"
"Lithuania","3-5mo",2027-08-30,2028-08-27,162,"2027/2028"
"Lithuania","5-17",2027-08-30,2028-08-27,17,"2027/2028"
"Lithuania","6-11mo",2027-08-30,2028-08-27,171,"2027/2028"
"Lithuania","60-64",2027-08-30,2028-08-27,61,"2027/2028"
"Lithuania","65-69",2027-08-30,2028-08-27,79,"2027/2028"
"Lithuania","70-74",2027-08-30,2028-08-27,116,"2027/2028"
"Lithuania","75-79",2027-08-30,2028-08-27,120,"2027/2028"
"Lithuania","80+",2027-08-30,2028-08-27,585,"2027/2028"
"Luxembourg","0-2mo",2026-08-31,2027-08-29,109,"2026/2027"
"Luxembourg","1-4",2026-08-31,2027-08-29,68,"2026/2027"
"Luxembourg","18-59",2026-08-31,2027-08-29,40,"2026/2027"
"Luxembourg","3-5mo",2026-08-31,2027-08-29,54,"2026/2027"
"Luxembourg","5-17",2026-08-31,2027-08-29,7,"2026/2027"
"Luxembourg","6-11mo",2026-08-31,2027-08-29,39,"2026/2027"
"Luxembourg","60-64",2026-08-31,2027-08-29,20,"2026/2027"
"Luxembourg","65-69",2026-08-31,2027-08-29,24,"2026/2027"
"Luxembourg","70-74",2026-08-31,2027-08-29,33,"2026/2027"
"Luxembourg","75-79",2026-08-31,2027-08-29,22,"2026/2027"
"Luxembourg","80+",2026-08-31,2027-08-29,99,"2026/2027"
"Luxembourg","0-2mo",2027-08-30,2028-08-27,109,"2027/2028"
"Luxembourg","1-4",2027-08-30,2028-08-27,68,"2027/2028"
"Luxembourg","18-59",2027-08-30,2028-08-27,40,"2027/2028"
"Luxembourg","3-5mo",2027-08-30,2028-08-27,54,"2027/2028"
"Luxembourg","5-17",2027-08-30,2028-08-27,7,"2027/2028"
"Luxembourg","6-11mo",2027-08-30,2028-08-27,39,"2027/2028"
"Luxembourg","60-64",2027-08-30,2028-08-27,20,"2027/2028"
"Luxembourg","65-69",2027-08-30,2028-08-27,24,"2027/2028"
"Luxembourg","70-74",2027-08-30,2028-08-27,33,"2027/2028"
"Luxembourg","75-79",2027-08-30,2028-08-27,22,"2027/2028"
"Luxembourg","80+",2027-08-30,2028-08-27,99,"2027/2028"
"Malta","0-2mo",2026-08-31,2027-08-29,69,"2026/2027"
"Malta","1-4",2026-08-31,2027-08-29,50,"2026/2027"
